Size,1st 0-dim birth mean,1st 0-dim birth var,1st 0-dim birth min,1st 0-dim birth max,1st 1-dim birth mean,1st 1-dim birth var,1st 1-dim birth min,1st 1-dim birth max,2nd 1-dim birth mean,2nd 1-dim birth var,2nd 1-dim birth min,2nd 1-dim birth max
13,0.006308351635822318,2.8069467961965895e-05,7.987647224028116e-05,0.0223258538961581,0.37957042961015175,0.00477759678885651,0.2545943714910641,0.5549755721675916,0.4399709448064588,0.00360271231151301,0.29608223044191,0.6059205057630137
14,0.005730556161469193,2.625363273489102e-05,9.774425163711076e-05,0.0239459950242773,0.3662059731128594,0.004270906968255041,0.2267021101183668,0.5459975737675394,0.4322778915343771,0.0032900172250403623,0.281093411988623,0.5877267599360109
15,0.004817443853375192,2.3424921916195174e-05,9.720503302834692e-05,0.0246420849184665,0.3772086325173447,0.003683697650501949,0.1917324152321519,0.5332829798132671,0.4326516485373503,0.0026393537959794665,0.3198706210146756,0.5654711223147265
16,0.003833173698036231,1.8066519596091572e-05,7.159222189234704e-05,0.0288075095338191,0.3883740053535643,0.0027364938509834074,0.2584732949761988,0.5150949006347367,0.44264262250742076,0.0024403307924846375,0.3178551146721908,0.565795439245931
17,0.0032540306006268492,9.178925787557888e-06,1.1831590596145247e-05,0.0164330779018907,0.38626850292501586,0.0024021424658236994,0.2437615187149809,0.4993430111761902,0.43647174837611524,0.0027952044542033315,0.3098974906452979,0.6057607832001476
18,0.0029939551311080797,8.194059936330699e-06,1.5995249029510106e-05,0.0109933706877205,0.38810049392398854,0.0019597164006849126,0.2673985432840681,0.5185256510915751,0.4335414096892186,0.001968177098534514,0.3412806704219209,0.5420900201589676
19,0.00269108731948964,7.69031856038553e-06,2.5799524645431227e-05,0.0120596587572925,0.3800696906539819,0.001786695888511501,0.2733261753735202,0.4699793139321807,0.4299355011330804,0.001921732063763353,0.3203161952687948,0.5409598446832111
20,0.0020001344444829723,3.878159095580293e-06,3.050901509316084e-06,0.0082661958981646,0.383706329426569,0.0019712163283277574,0.243915286693536,0.5114319566771044,0.424938325173372,0.0020315006511943145,0.3401710842711291,0.5369001637049248
21,0.0022457645317415917,4.4110059848645965e-06,8.061948888915538e-06,0.0104371706240434,0.3844199563675167,0.0012138786808457195,0.2745795332271012,0.4666085364096751,0.42698264723479673,0.0015057712942801848,0.3523293410718024,0.5326477720572744
22,0.002004272501969743,4.481039074180908e-06,2.4106266242274188e-05,0.0081342890156201,0.3882698747117492,0.0015110095448600724,0.2899470056548275,0.467359973811808,0.4308388412113014,0.0017673742264173575,0.3213408807347262,0.5453760697490072
23,0.001922856997064698,2.91194174885819e-06,1.1393641842882827e-05,0.0069895635031691,0.3904677081161143,0.001387441291992379,0.2968116681261444,0.4741019245010336,0.43095102036252364,0.001654852255708915,0.3514794900617738,0.5802746329954235
24,0.0017114854117597298,2.8607390352527057e-06,8.18986079653694e-06,0.0085841410500858,0.38611436511616737,0.0013237344412614512,0.2931764869252705,0.4809663982771136,0.42472326702021834,0.0013363235915784244,0.3320930587551378,0.5247974703234902
25,0.0015772350519389134,2.103898116537614e-06,2.9089643506230445e-06,0.0064964967134153,0.38445719823945396,0.0010495060770551092,0.3078438011036205,0.4520938489813488,0.42530625827012664,0.001050517524109319,0.3371939418812929,0.5167488047046811
26,0.001504536279362487,2.5801537235104926e-06,3.492699082707773e-05,0.009341571530828,0.39360889073255106,0.001226668560258934,0.3001973298683353,0.4615619012371776,0.42443068247373217,0.0012382052561197285,0.345955159383616,0.5175483651854794
