Birth,Death,Dimension,Space
0.0235565825681307,0.1026855537923377,0,1
0.0177197169228245,0.1196685289208201,0,1
0.1139315530193942,0.1284671973129457,0,1
0.0349986119070711,0.1317385913967467,0,1
0.064099612229494,0.1448672636932506,0,1
0.1516436318825607,0.153827358227089,0,1
0.1019889131819452,0.1658205385074612,0,1
0.1713760283182126,0.2180496952585233,1,1
0.1713760283182126,0.2780074541107068,1,1
0.1585896230859704,0.2799740237246114,1,1
0.2146628429852927,0.2937114086715835,1,1
0.1622331147094924,0.2937114086715835,1,1
0.153827358227089,0.2977844020958753,1,1
0.2146628429852927,0.3196468450308297,1,1
0.2032386209433377,0.347745205350107,1,1
0.2891853798728303,0.3524897342534838,1,1
0.3598938682117826,0.3856262029761668,1,1
0.3154209909512947,0.3889931546978596,1,1
0.3323869933148796,0.3896438715992167,1,1
0.3652684661929234,0.3896438715992167,1,1
0.3436972154297362,0.3990727117327287,1,1
0.1658205385074612,0.3990727117327287,1,1
0.2673918715416844,0.4030132661844749,1,1
0.1349507823369101,0.4033247643238333,1,1
0.3069767603163239,0.4033247643238333,1,1
0.347745205350107,0.4068601164091353,1,1
0.2462245541710881,0.4162738167690561,1,1
0.2565255865616191,0.4201235800321415,1,1
0.2431251342432802,0.4225108881406367,1,1
0.3069767603163239,0.4435688768454541,1,1
0.3442457584276445,0.4459065857298782,1,1
0.2462245541710881,0.4770753910254478,1,1
0.2844625087959647,0.4817507058514619,1,1
0.3631147834096287,0.4976224213351412,1,1
0.231343878188077,0.4976224213351412,1,1
0.3514210224246296,0.4998578398281527,1,1
0.3673429985955621,0.5160477249702922,1,1
0.153827358227089,0.5168925249899068,1,1
0.5072174136399353,0.5180456376621084,1,1
0.231343878188077,0.5206357066292312,1,1
0.2565255865616191,0.5311852526901089,1,1
0.2029436103228918,0.5311852526901089,1,1
0.2029436103228918,0.5326146798178263,1,1
0.2989660027507625,0.5547188592947261,1,1
0.1713760283182126,0.5587236809786627,1,1
0.415003811639028,0.5666721560262319,1,1
0.1775804449308815,0.5674087590420044,1,1
0.3055052498366292,0.5701493799891219,1,1
0.1772752152765165,0.5859351302362485,1,1
0.3055052498366292,0.6068309564809901,1,1
0.1658205385074612,0.6069031653718321,1,1
0.1632566690917669,0.6086286182750733,1,1
0.5209702218610045,0.6111063305156398,1,1
0.3631147834096287,0.6131215143296835,1,1
0.1622331147094924,0.6158272100284863,1,1
0.447942932757485,0.6169496216816539,1,1
0.6157120972395949,0.6169496216816539,1,1
0.3235501971079776,0.627547692818694,1,1
0.2924356638611692,0.631040910709561,1,1
0.144158778667567,0.6433909882040117,1,1
0.1419866898656817,0.6494233725804563,1,1
0.3514210224246296,0.6547492890707026,1,1
0.6509852577895308,0.6619367305446975,2,1
0.457194726006799,0.6726750169874929,1,1
